STATE,POP_EST,PRESIDENT
ALABAMA,5074296,Trump
ALASKA,733583,Trump
ARIZONA,7359197,Biden
ARKANSAS,3045637,Trump
CALIFORNIA,39029342,Biden
COLORADO,5839926,Biden
CONNECTICUT,3626205,Biden
DELAWARE,1018396,Biden
DISTRICT OF COLUMBIA,671803,Biden
FLORIDA,22244823,Trump
GEORGIA,10912876,Biden
HAWAII,1440196,Biden
IDAHO,1939033,Trump
ILLINOIS,12582032,Biden
INDIANA,6833037,Trump
IOWA,3200517,Trump
KANSAS,2937150,Trump
KENTUCKY,4512310,Trump
LOUISIANA,4590241,Trump
MAINE,1385340,Biden
MARYLAND,6164660,Biden
MASSACHUSETTS,6981974,Biden
MICHIGAN,10034113,Biden
MINNESOTA,5717184,Biden
MISSISSIPPI,2940057,Trump
MISSOURI,6177957,Trump
MONTANA,1122867,Trump
NEBRASKA,1967923,Trump
NEVADA,3177772,Biden
NEW HAMPSHIRE,1395231,Biden
NEW JERSEY,9261699,Biden
NEW MEXICO,2113344,Biden
NEW YORK,19677151,Biden
NORTH CAROLINA,10698973,Trump
NORTH DAKOTA,779261,Trump
OHIO,11756058,Trump
OKLAHOMA,4019800,Trump
OREGON,4240137,Biden
PENNSYLVANIA,12972008,Biden
RHODE ISLAND,1093734,Biden
SOUTH CAROLINA,5282634,Trump
SOUTH DAKOTA,909824,Trump
TENNESSEE,7051339,Trump
TEXAS,30029572,Trump
UTAH,3380800,Trump
VERMONT,647064,Biden
VIRGINIA,8683619,Biden
WASHINGTON,7785786,Biden
WEST VIRGINIA,1775156,Trump
WISCONSIN,5892539,Biden
WYOMING,581381,Trump
PUERTO RICO,3221789,NA
US VIRGIN ISLANDS,87146,NA
AMERICAN SAMOA,49710,NA
NORTHERN MARIANA ISLANDS,47329,NA
GUAM,153836,NA
TRIBAL COMMUNITIES,NA,NA
